shortnam,lat_abst,euro1900,avexpr,logpgp95,logem4
AFG,.36666667,0,,,4.5400982
AGO,.13666667,8,5.3636365,7.7706451,5.6347895
ARE,.26666668,0,7.181818,9.8042192,
ARG,.37777779,60.000004,6.3863635,9.1334591,4.232656
ARM,.44444445,0,,7.6824822,
AUS,.30000001,98,9.318182,9.8979721,2.1459312
AUT,.52444446,100,9.727273,9.9748774,
AZE,.44777778,0,,7.3065314,
BDI,.036666665,0,,6.5652652,5.6347895
BEL,.56111109,100,9.681818,9.9928713,
BEN,.10333334,0,,7.0900769,5.5854492
BFA,.14444445,0,4.4545455,6.84588,5.6347895
BGD,.26666668,0,5.1363635,6.877296,4.2684379
BGR,.47777778,100,8.909091,8.4574432,
BHR,.2888889,0,8,9.6859531,
BHS,.26833332,10,7.5,9.2854481,4.4426513
BIH,.48888889,100,,,
BLR,.58888888,100,,8.340456,
BLZ,.19055556,20,,8.3779316,5.0955892
BOL,.18888889,30.000002,5.6363635,7.9266024,4.2626801
BRA,.11111111,40,7.909091,8.7274542,4.2626801
BRB,.14555556,20,,9.2667208,4.4426513
BTN,.30333331,0,,,
BWA,.24444444,0,7.7272725,8.855093,
CAF,.077777781,0,,7.192934,5.6347895
CAN,.66666669,99,9.727273,9.9864492,2.7788193
CHE,.52222222,100,10,10.120211,
CHL,.33333334,50,7.818182,9.336092,4.232656
CHN,.3888889,0,7.7727275,7.8860812,4.7706847
CIV,.088888891,0,7,7.4442487,6.5042882
CMR,.06666667,0,6.4545455,7.5010819,5.6347895
COG,.011111111,0,4.681818,7.420579,5.480639
COL,.044444446,20,7.318182,8.8098631,4.2626801
COM,.13444445,5,,7.3839893,
CPV,.17777778,5,,7.9793391,
CRI,.11111111,20,7.0454545,8.7948246,4.3579903
CZE,.54944444,100,8.863636,9.2043219,
DEU,.56666666,100,,9.9354706,
DJI,.12555556,0,,,3.2580965
DNK,.62222224,100,9.727273,10.005592,
DOM,.21111111,25,6.181818,8.3640423,4.8675346
DZA,.31111112,13,6.5,8.3893595,4.3592696
ECU,.022222223,30.000002,6.5454545,8.4701014,4.2626801
EGY,.30000001,0,6.7727275,7.9515595,4.2165623
ERI,.16666667,0,,6.6200733,
ESP,.44444445,100,9.681818,9.6184683,
EST,.65555555,100,,8.3938951,
ETH,.088888891,0,5.7272725,6.1092477,3.2580965
FIN,.71111113,100,9.727273,9.826066,
FJI,.2,,,8.3015213,2.4336133
FRA,.51111114,100,9.727273,9.9636412,1.0577903
GAB,.011111111,0,7.818182,8.9078827,5.6347895
GBR,.60000002,100,9.772727,9.87817,.93609333
GEO,.46666667,100,,7.3714895,
GHA,.088888891,0,6.2727275,7.36518,6.5042882
