schoolname,averageclasssize,year,grade,enroll,schoolid,mathscore,x,pctdisability,pctEL,pctblack,pcthisp,pctwhite
P.S. 003 The Bedford Village,24,2010,3,96,3,-.2226528532354452,-.5,.092783503,.072164945,81.720428,6.4516125,2.1505377
P.S. 003 The Bedford Village,27,2010,4,81,3,-.2564095875916295,-15.5,.092105262,.078947365,85.526314,6.5789475,2.6315789
P.S. 003 The Bedford Village,30.70000076293945,2010,5,92,3,-.436715666575026,-4.5,.032967035,.054945055,81.31868,6.5934072,0
P.S. 005 DR. RONALD MCNAIR,18.79999923706055,2009,3,75,5,-1.382733772186048,10.5,.10810811,.027027028,89.189186,9.4594593,0
P.S. 005 DR. RONALD MCNAIR,15.30000019073486,2011,3,46,5,.1028706325133176,13.5,.13207547,.03773585,83.018867,7.5471697,5.6603775
P.S. 005 DR. RONALD MCNAIR,28,2012,3,56,5,-.727785747238342,-8.5,.055555556,.11111111,74.074074,18.518518,7.4074073
P.S. 005 DR. RONALD MCNAIR,22.5,2013,3,45,5,-1.908278151271636,12.5,.22222222,.022222223,86.36364,11.363637,0
P.S. 005 DR. RONALD MCNAIR,21,2009,4,63,5,.9006786008225369,-1.5,.25,.014705882,85.294113,10.294118,4.4117646
P.S. 005 Dr. Ronald Mcnair,23,2010,4,69,5,-.7106474612441268,4.5,.16176471,.014705882,85.294113,10.294118,4.4117646
P.S. 005 DR. RONALD MCNAIR,21.5,2012,4,43,5,.0119597772232128,10.5,.16,.059999999,84,8,6
P.S. 005 DR. RONALD MCNAIR,25,2013,4,50,5,-.8889531677771189,-14.5,.15217391,.15217391,73.91304,19.565218,6.521739
P.S. 005 DR. RONALD MCNAIR,27,2009,5,54,5,-.3157128117946345,-10.5,.098039217,0,84,14,0
P.S. 005 Dr. Ronald Mcnair,28.5,2010,5,57,5,-.6947118303789592,-7.5,.24590164,.016393442,81.967209,16.393442,1.6393442
P.S. 005 DR. RONALD MCNAIR,19,2011,5,57,5,.3217413876350308,-7.5,.16949153,.016949153,88.135597,6.7796612,5.0847454
P.S. 005 DR. RONALD MCNAIR,18,2013,5,36,5,-.8775302655802362,3.5,.30555555,.055555556,83.333328,8.333334,5.5555558
P.S. 006,25.5,2010,3,102,6,-.321514942518507,5.5,.11818182,.10909091,80.555557,17.592592,1.8518518
P.S. 006,26.29999923706055,2012,3,105,6,-.9086142077896749,8.5,.058252428,.1262136,80.58252,18.446602,.97087377
P.S. 006,25,2013,4,100,6,-.255240354747529,3.5,.16161616,.12121212,79.591835,19.387754,1.0204082
